HEDGE_ESTIMATOR,ADAPTIVE_START_DAY,POSITION_SIZE,OPTIMIZATION_TARGET,STATIC_PARAMS.HEDGE_ESTIMATOR,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,STATIC_PARAMS.POSITION_SIZE,STATIC_PARAMS.ADAPTIVE_START_DAY,ADAPTIVE_PARAMS.HEDGE_ESTIMATOR,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.POSITION_SIZE,ADAPTIVE_PARAMS.ADAPTIVE_START_DAY,score
ols,501,10000,STATIC,ols,90,0.25,3.5,10000,501,ols,90,0.25,3.5,10000,501,24.567856838135143
ols,501,10000,STATIC,ols,90,0.25,4.0,10000,501,ols,90,0.25,4.0,10000,501,24.567856838135143
ridge,501,10000,STATIC,ridge,90,0.25,4.0,10000,501,ridge,90,0.25,4.0,10000,501,24.565432536578214
ridge,501,10000,STATIC,ridge,90,0.25,3.5,10000,501,ridge,90,0.25,3.5,10000,501,24.565432536578214
lasso,501,10000,STATIC,lasso,140,0.25,3.0,10000,501,lasso,140,0.25,3.0,10000,501,24.561227720769537
ridge,501,10000,STATIC,ridge,130,1.75,2.0,10000,501,ridge,130,1.75,2.0,10000,501,24.559723147729436
ridge,501,10000,STATIC,ridge,80,0.25,3.0,10000,501,ridge,80,0.25,3.0,10000,501,24.540718823171588
ols,501,10000,STATIC,ols,80,0.25,3.0,10000,501,ols,80,0.25,3.0,10000,501,24.53923644076609
lasso,501,10000,STATIC,lasso,80,1.75,4.0,10000,501,lasso,80,1.75,4.0,10000,501,24.524424479813334
lasso,501,10000,STATIC,lasso,120,1.25,4.0,10000,501,lasso,120,1.25,4.0,10000,501,24.50120082532063
bayesian,501,10000,STATIC,bayesian,80,1.75,4.0,10000,501,bayesian,80,1.75,4.0,10000,501,24.494177217170964
lasso,501,10000,STATIC,lasso,120,0.25,3.0,10000,501,lasso,120,0.25,3.0,10000,501,24.493388817044448
ols,501,10000,STATIC,ols,130,1.75,2.0,10000,501,ols,130,1.75,2.0,10000,501,24.48333078583253
bayesian,501,10000,STATIC,bayesian,140,0.5,2.0,10000,501,bayesian,140,0.5,2.0,10000,501,24.465010473362824
bayesian,501,10000,STATIC,bayesian,70,1.75,3.5,10000,501,bayesian,70,1.75,3.5,10000,501,24.46483950861513
ridge,501,10000,STATIC,ridge,90,1.75,4.0,10000,501,ridge,90,1.75,4.0,10000,501,24.463221990583705
ridge,501,10000,STATIC,ridge,90,1.75,3.5,10000,501,ridge,90,1.75,3.5,10000,501,24.463221990583705
ols,501,10000,STATIC,ols,90,1.75,3.5,10000,501,ols,90,1.75,3.5,10000,501,24.462571495944545
ols,501,10000,STATIC,ols,90,1.75,4.0,10000,501,ols,90,1.75,4.0,10000,501,24.462571495944545
ridge,501,10000,STATIC,ridge,120,0.75,4.0,10000,501,ridge,120,0.75,4.0,10000,501,24.45812186560954
ols,501,10000,STATIC,ols,120,0.75,4.0,10000,501,ols,120,0.75,4.0,10000,501,24.45360973197498
lasso,501,10000,STATIC,lasso,90,1.75,3.5,10000,501,lasso,90,1.75,3.5,10000,501,24.437291701363705
lasso,501,10000,STATIC,lasso,90,1.75,4.0,10000,501,lasso,90,1.75,4.0,10000,501,24.437291701363705
bayesian,501,10000,STATIC,bayesian,110,1.75,3.0,10000,501,bayesian,110,1.75,3.0,10000,501,24.393302525361733
bayesian,501,10000,STATIC,bayesian,130,0.25,3.5,10000,501,bayesian,130,0.25,3.5,10000,501,24.38872374397954
lasso,501,10000,STATIC,lasso,70,1.75,3.0,10000,501,lasso,70,1.75,3.0,10000,501,24.384971751463215
lasso,501,10000,STATIC,lasso,100,0.75,4.0,10000,501,lasso,100,0.75,4.0,10000,501,24.354561108747085
