ADAPTIVE_START_DAY,POSITION_SIZE,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,score
501,10000,90,1.0,4.0,120,1.0,2.5,38.29840544957507
501,10000,90,1.0,3.5,120,1.0,2.5,38.29840544957507
301,10000,60,2.0,4.0,120,1.5,3.0,38.29391124714399
301,10000,60,2.0,3.5,120,1.5,3.0,38.28091905127082
301,10000,90,1.5,3.0,120,1.5,3.0,38.251513866586855
501,10000,90,2.0,3.5,120,1.5,3.0,38.24173707742801
501,10000,90,2.0,4.0,120,1.5,3.0,38.24173707742801
501,10000,120,1.5,2.5,120,1.5,4.0,38.21480956917768
501,10000,120,1.5,2.5,120,1.5,3.5,38.21480956917768
301,10000,120,1.5,3.0,120,1.5,3.0,38.203669510346664
601,10000,120,1.0,3.0,90,1.0,3.5,38.19285306365514
601,10000,120,1.0,3.0,90,1.0,4.0,38.19285306365514
601,10000,120,1.5,3.0,120,1.0,4.0,38.17245495824807
601,10000,120,1.5,3.0,120,1.0,3.5,38.17245495824807
501,10000,120,2.0,4.0,90,1.0,3.0,38.16382056620821
401,10000,60,2.0,4.0,120,1.5,3.5,38.13899523236309
401,10000,60,2.0,4.0,120,1.5,4.0,38.13899523236309
501,10000,120,1.5,3.5,120,1.0,2.5,38.10529688827657
401,10000,120,1.0,3.0,120,1.0,3.0,38.098709273815075
401,10000,120,2.0,4.0,90,1.0,3.5,38.08538332555443
401,10000,120,2.0,4.0,90,1.0,4.0,38.08538332555443
601,10000,120,1.5,3.0,120,1.0,3.0,38.08081342354053
601,10000,120,1.5,3.0,120,1.5,2.5,38.054443711044954
601,10000,120,2.0,3.0,90,1.0,3.5,38.01283778986844
601,10000,120,2.0,3.0,90,1.0,4.0,38.01283778986844
301,10000,120,1.0,4.0,120,1.5,3.5,38.01245870837195
301,10000,120,1.0,4.0,120,1.5,4.0,38.01245870837195
401,10000,120,2.0,2.5,120,1.5,4.0,38.011168549943235
401,10000,120,2.0,2.5,120,1.5,3.5,38.011168549943235
401,10000,90,2.0,3.5,120,1.0,3.0,38.00265693984285
401,10000,90,2.0,4.0,120,1.0,3.0,38.00265693984285
401,10000,60,2.0,3.5,120,1.5,4.0,38.00124392425998
